protocol,first_detection_time,full_convergence_time,total_messages,latency_max
SerfSimulator,0.0,1.2000000000000002,2660,0.0
SerfSimulator,0.2,1.6,3420,0.0
SerfSimulator,0.0,1.4000000000000001,3040,0.0
SerfSimulator,0.0,1.4000000000000001,3040,0.0
SerfSimulator,0.0,1.6,3420,0.0
SerfSimulator,0.0,1.2000000000000002,2660,0.0
SerfSimulator,0.0,1.4000000000000001,3040,0.0
SerfSimulator,0.0,1.4000000000000001,3040,0.0
SerfSimulator,0.0,1.4000000000000001,3040,0.0
SerfSimulator,0.0,1.6,3420,0.0
SerfSimulator,0.0,1.4000000000000001,3040,0.0
SerfSimulator,0.0,1.6,3420,0.0
SerfSimulator,0.0,1.4000000000000001,3040,0.0
SerfSimulator,0.0,1.4000000000000001,3040,0.0
SerfSimulator,0.0,1.2000000000000002,2660,0.0
SerfSimulator,0.008011594570868696,1.4000000000000001,2660,0.1
SerfSimulator,0.2225027830064511,1.8,3420,0.1
SerfSimulator,0.009977308675499098,1.6,3040,0.1
SerfSimulator,0.008418726362988916,1.6,3040,0.1
SerfSimulator,0.00032730267285946413,1.8,3420,0.1
SerfSimulator,0.01019744021739154,1.4000000000000001,2660,0.1
SerfSimulator,0.006076584338103064,1.6,3040,0.1
SerfSimulator,0.047349293246195634,1.6,3040,0.1
SerfSimulator,0.004892677401171164,1.6,3040,0.1
SerfSimulator,0.008591506136839455,1.8,3420,0.1
SerfSimulator,0.01855770297544811,1.6,3040,0.1
SerfSimulator,0.024148370569169977,1.8,3420,0.1
SerfSimulator,0.048474880115291344,1.6,3040,0.1
SerfSimulator,0.0021513846576548647,1.6,3040,0.1
SerfSimulator,0.010728868545936233,1.4000000000000001,2660,0.1
SerfSimulator,0.016023189141737393,1.4000000000000001,2660,0.2
SerfSimulator,0.24500556601290222,1.8,3420,0.2
SerfSimulator,0.019954617350998197,1.6,3040,0.2
SerfSimulator,0.016837452725977833,1.6,3040,0.2
SerfSimulator,0.0006546053457189283,1.8,3420,0.2
SerfSimulator,0.02039488043478308,1.4000000000000001,2660,0.2
SerfSimulator,0.012153168676206128,1.6,3040,0.2
SerfSimulator,0.09469858649239127,1.6,3040,0.2
SerfSimulator,0.009785354802342328,1.6,3040,0.2
SerfSimulator,0.01718301227367891,1.8,3420,0.2
SerfSimulator,0.03711540595089622,1.6,3040,0.2
SerfSimulator,0.048296741138339955,1.8,3420,0.2
SerfSimulator,0.09694976023058269,1.6,3040,0.2
SerfSimulator,0.004302769315309729,1.6,3040,0.2
SerfSimulator,0.021457737091872466,1.4000000000000001,2660,0.2
SerfSimulator,0.02403478371260609,1.8,3420,0.3
SerfSimulator,0.2675083490193533,2.0,3800,0.3
SerfSimulator,0.029931926026497288,1.6,3040,0.3
SerfSimulator,0.025256179088966744,2.0,3800,0.3
SerfSimulator,0.0009819080185783924,2.0,3800,0.3
SerfSimulator,0.03059232065217462,1.6,3040,0.3
SerfSimulator,0.01822975301430919,1.8,3420,0.3
SerfSimulator,0.1420478797385869,1.6,3040,0.3
SerfSimulator,0.014678032203513491,1.8,3420,0.3
SerfSimulator,0.025774518410518366,2.0,3800,0.3
SerfSimulator,0.05567310892634433,1.6,3040,0.3
SerfSimulator,0.07244511170750992,2.0,3800,0.3
SerfSimulator,0.14542464034587402,1.8,3420,0.3
SerfSimulator,0.006454153972964593,1.8,3420,0.3
SerfSimulator,0.032186605637808695,1.6,3040,0.3
SerfSimulator,0.032046378283474786,2.0,3800,0.4
SerfSimulator,0.2900111320258044,2.2,4180,0.4
SerfSimulator,0.03990923470199639,1.6,3040,0.4
SerfSimulator,0.033674905451955665,2.0,3800,0.4
SerfSimulator,0.0013092106914378565,2.2,4180,0.4
SerfSimulator,0.04078976086956616,1.8,3420,0.4
SerfSimulator,0.024306337352412256,2.0,3800,0.4
SerfSimulator,0.18939717298478254,1.8,3420,0.4
SerfSimulator,0.019570709604684655,1.8,3420,0.4
SerfSimulator,0.03436602454735782,2.0,3800,0.4
SerfSimulator,0.07423081190179244,2.0,3800,0.4
SerfSimulator,0.09659348227667991,2.0,3800,0.4
SerfSimulator,0.19389952046116538,2.0,3800,0.4
SerfSimulator,0.008605538630619459,1.8,3420,0.4
SerfSimulator,0.04291547418374493,1.8,3420,0.4
SerfSimulator,0.04005797285434348,2.2,4180,0.5
SerfSimulator,0.3125139150322555,2.4000000000000004,4560,0.5
SerfSimulator,0.049886543377495485,1.8,3420,0.5
SerfSimulator,0.042093631814944577,2.0,3800,0.5
SerfSimulator,0.0016365133642973206,2.2,4180,0.5
SerfSimulator,0.0509872010869577,2.0,3800,0.5
SerfSimulator,0.03038292169051532,2.0,3800,0.5
SerfSimulator,0.23674646623097817,2.0,3800,0.5
SerfSimulator,0.02446338700585582,2.0,3800,0.5
SerfSimulator,0.042957530684197276,2.2,4180,0.5
SerfSimulator,0.09278851487724055,2.2,4180,0.5
SerfSimulator,0.12074185284584987,2.2,4180,0.5
SerfSimulator,0.2423744005764567,2.0,3800,0.5
SerfSimulator,0.010756923288274323,2.2,4180,0.5
SerfSimulator,0.05364434272968116,2.0,3800,0.5
